z,C150,C600,C2400,C15000,C60000,-1/4z
5,-0.0446336,-0.0461486,-0.0463312,-0.0463547,-0.046356,-0.05000000
6,-0.0368095,-0.0388397,-0.0390889,-0.0391210,-0.0391229,-0.04166667
7,-0.0308601,-0.0334567,-0.0337820,-0.0338242,-0.0338266,-0.03571429
8,-0.0261198,-0.0293237,-0.0297341,-0.0297877,-0.0297908,-0.03125000
9,-0.0221989,-0.0260409,-0.0265451,-0.0266113,-0.0266152,-0.02777778
10,-0.0188592,-0.0233608,-0.0239667,-0.0240469,-0.0240516,-0.02500000
